startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
24/05/2014,24/05/2014,Greece,GRC,"Limnos Island (Lesvou district, Voreio Aigaio province), Samothrace Island (Evrou district, Anatoliki Makedonnia Kai Thraki province)",Earthquake,Ground movement,3,75002,2014-0174
24/05/2014,24/05/2014,Turkey,TUR,"Tekirdag, Canakkale provinces",Earthquake,Ground movement,,324,2014-0174
30/05/2014,30/05/2014,China,CHN,"Yingjiang area (Dehong Dai and Jingpo district, Yunnan Sheng province)",Earthquake,Ground movement,,184723,2014-0177
7/7/14,7/7/14,Guatemala,GTM,"Huehuetenango, Quetzaltenango, Retalhuleu, San Marcos, Solola, Suchitepequez, Totonicapan provinces",Earthquake,Ground movement,1,94783,2014-0234
7/7/14,7/7/14,Mexico,MEX,Chiapas province,Earthquake,Ground movement,3,27000,2014-0234
12/3/14,12/3/14,Comoros (the),COM,Anjouan province,Earthquake,Ground movement,,10000,2014-0258
3/8/14,3/8/14,China,CHN,"Longtoushanzhen, Zhaotong cities (Ludian area, Zhaotong district, Yunnan Sheng province), Qiaojia area (Zhaotong district, Yunnan Sheng province), Huize area (Qujing district, Yunnan Sheng province), Guizhou Sheng, Sichuan Sheng provinces",Earthquake,Ground movement,731,1120513,2014-0281
18/08/2014,18/08/2014,Iran (Islamic Republic of),IRN,"Moormoori village (Abdanan district, Ilam province), Tape Hamane Oliya, Tape Hamane Sofla villages (Dehloran district, Ilam province)",Earthquake,Ground movement,,12250,2014-0287
13/08/2014,13/08/2014,Ecuador,ECU,Quito district (Pichincha province),Earthquake,Ground movement,3,18,2014-0288
1/8/14,1/8/14,Algeria,DZA,"Alger, Boumerdes provinces",Earthquake,Ground movement,6,420,2014-0298
5/8/14,5/8/14,South Africa,ZAF,"Orkney city (Dr Kenneth Kaunda District Municipality district, North West province)",Earthquake,Ground movement,1,2002,2014-0311
24/08/2014,24/08/2014,United States of America (the),USA,"San Francisco Bay (San Francisco district) , Napa Valley (Napa district) , Sonoma, Solano district (California province) , Vallejo, Mare Island cities (Solano district, California province)",Earthquake,Ground movement,1,3250,2014-0318
16/09/2014,3/12/14,Philippines (the),PHL,"Tabaco, Ligao, Legazpi city, Malilipot, Daraga, Camalig, Guinobatan, Sto. Domingo areas (Albay district, Region V (Bicol region) province)",Volcanic activity,--,,60545,2014-0331
27/09/2014,27/09/2014,Peru,PER,"Misca (Paruro district, Cusco province)",Earthquake,Ground movement,8,604,2014-0334
27/09/2014,30/09/2014,Japan,JPN,"Kaidamura, Mitakemura, Ootakimura districts (Nagano province), Asahimura, Osakatyoo, Takanemura districts (Gifu province)",Volcanic activity,--,63,69,2014-0336
9/8/14,9/8/14,Papua New Guinea,PNG,"Arawa, Buin, Sohano districts, Northern Solomons province",Volcanic activity,Ash fall,,1380,2014-0410
7/10/14,7/10/14,China,CHN,"Yongping Xian area (Dali Bai district, Yunnan Sheng province)",Earthquake,Ground movement,1,255324,2014-0449
22/11/2014,22/11/2014,China,CHN,Sichuan Sheng province,Earthquake,Ground movement,5,125055,2014-0464
22/11/2014,22/11/2014,Japan,JPN,"Hakuba village (Hakubamura district, Nagano province)",Earthquake,Ground movement,,2611,2014-0465
23/11/2014,31/01/2015,Cabo Verde,CPV,"Bangaeira, Djeu Lorna, Portela, Cha das Caldeiras villages (Sao Filipe district, Fogo province)",Volcanic activity,Lava flow,,2500,2014-0478
6/12/14,6/12/14,China,CHN,"Weiyuan Xian area (Dingxi district, Gansu Sheng province)",Earthquake,Ground movement,,2022,2014-0544
22/02/2015,22/02/2015,China,CHN,"Shawan area (Tacheng district, Xinjiang Uygur Zizhiqu province)",Earthquake,Ground movement,,8640,2015-0078
10/3/15,10/3/15,Colombia,COL,"Santafe de Bogota D.c. district (Cundinamarca province), Cali district (Valle del Cauca province), Bucaramanga, Betulia districts (Santander Province)",Earthquake,Ground movement,,511,2015-0086
12/3/15,12/3/15,Costa Rica,CRI,Turrialba district (Cartago province),Volcanic activity,Ash fall,,18450,2015-0104
1/3/15,1/3/15,China,CHN,"Zhenkang Xian, Cangyuan Wa Zizhixian, Gengma Dai-Wa Zizhixian areas (Lincang district, Yunnan Sheng province)",Earthquake,Ground movement,,2032,2015-0125
24/04/2015,24/04/2015,Argentina,ARG,"San Carlos de Bariloche town (Bariloche district, Rio Negro province)",Volcanic activity,Ash fall,,,2015-0142
24/04/2015,30/04/2015,Chile,CHL,"Ensenada town (Llanquihue district, Los Lagos province)",Volcanic activity,Ash fall,,4000,2015-0142
00/03/2015,00/03/2015,Chile,CHL,"Vallarica, Pucon, Cararrehue municipalities, Temuco town (Cautin district, Araucania province), Conaripe municipality (Valdivia district, Los Rios province)",Volcanic activity,Ash fall,,3600,2015-0143
25/04/2015,25/04/2015,China,CHN,Shigatse district (Xizang Zizhiqu province),Earthquake,Ground movement,20,200055,2015-0144
25/04/2015,25/04/2015,India,IND,"Bihar, Uttar Pradesh, West Bengal, Sikkim provinces",Earthquake,Ground movement,69,,2015-0144
25/04/2015,25/04/2015,Nepal,NPL,"Gorkha area (Gandaki district, Western province), Dolakha, Ramechhap areas (Janakpur district, Central province), Bagmati district (Central province)",Earthquake,Ground movement,8831,5639722,2015-0144
12/5/15,12/5/15,China,CHN,Shigatse district (Xizang Zizhiqu province),Earthquake,Ground movement,1,,2015-0175
12/5/15,12/5/15,India,IND,Bihar province,Earthquake,Ground movement,20,,2015-0175
12/5/15,12/5/15,Nepal,NPL,"Kathmandu, Sindhupalchok areas (Bagmati district, Central province), Dolakha area (Janakpur district, Central province)",Earthquake,Ground movement,138,543,2015-0175
5/6/15,5/6/15,Malaysia,MYS,Ranau district (Sabah province),Earthquake,Ground movement,24,10,2015-0216
3/7/15,3/7/15,China,CHN,"Xilkiqi village (Pishan area, Khotan district, Xinjiang Uygur Zizhiqu province)",Earthquake,Ground movement,4,3048,2015-0271
14/08/2015,22/08/2015,Ecuador,ECU,"Cotopaxi, Napo, Pichincha provinces",Volcanic activity,Lava flow,,800000,2015-0361
24/09/2015,24/09/2015,Indonesia,IDN,Sorong district (Papua Barat province),Earthquake,Ground movement,,12247,2015-0415
16/09/2015,16/09/2015,Chile,CHL,"Illapel city (Choapa district, Coquimbo province),",Earthquake,Tsunami,19,681499,2015-0435
13/10/2015,13/10/2015,Pakistan,PAK,"Gulistane Jauhar area (Karachi East District district, Sindh province)",Mass movement (dry),Rockfall,13,,2015-0454
26/10/2015,26/10/2015,Afghanistan,AFG,"Badakhshan, Baghlan, Ghazni, Kapisa, Khost, Kunar, Nangarhar, Paktya, Panjsher, Parwan, Takhar, Kunduz, Nuristan, Laghman, Kabul provinces",Earthquake,Ground movement,115,92725,2015-0476
26/10/2015,26/10/2015,India,IND,"Administrative unit not available districts (Jammu and Kashmir province), Delhi, Punjab provinces",Earthquake,Ground movement,,10,2015-0476
