startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
00/00/1990,00/00/1991,Niger (the),NER,Countrywide,Drought,Drought,,1630000,1990-9597
00/00/1992,00/00/1992,Botswana,BWA,,Drought,Drought,,100000,1990-9604
00/06/1992,00/00/1994,Lesotho,LSO,,Drought,Drought,,331500,1990-9604
00/02/1990,00/00/1990,Malawi,MWI,,Drought,Drought,,2800000,1990-9604
00/03/1991,00/03/1992,Mozambique,MOZ,Center,Drought,Drought,,3300000,1990-9604
00/00/1991,00/03/1992,Namibia,NAM,"Kavango, Ovambo regions (North)",Drought,Drought,,250000,1990-9604
00/00/1991,00/03/1992,South Africa,ZAF,"Northern and eastern Transvaal, central and northern Natal, eastern and northern Cape Region, Homeland area",Drought,Drought,,,1990-9604
00/11/1990,00/00/1995,Swaziland,SWZ,Southeast,Drought,Drought,,250000,1990-9604
00/00/1991,00/00/1992,"Tanzania, United Republic of",TZA,Central and Northern regions,Drought,Drought,,800000,1990-9604
00/00/1991,00/00/1992,Zambia,ZMB,,Drought,Drought,,1700000,1990-9604
00/04/1991,00/00/1995,Zimbabwe,ZWE,,Drought,Drought,,5000000,1990-9604
00/12/1990,00/07/1992,Philippines (the),PHL,"Regions VI, IX, X, XI and XII",Drought,Drought,,254282,1990-9707
00/07/1990,00/08/1990,Yugoslavia,YUG,Central,Drought,Drought,,,1990-9717
7/9/91,7/9/91,South Africa,ZAF,"Transkei, Transvaal, Free State, Natal",Wildfire,Forest fire,5,,1991-0047
6/8/91,6/8/91,Spain,ESP,Valence,Wildfire,"Land fire (Brush, Bush, Pastur",,,1991-0295
1/8/91,27/10/1991,Indonesia,IDN,"Borneo, Sumatra Isl., Kalimatan, java, Sulawesi",Wildfire,Forest fire,57,8,1991-0418
00/00/1991,00/00/1991,Portugal,PRT,,Wildfire,Forest fire,,,1991-0723
00/03/1991,00/00/1991,Cyprus,CYP,,Drought,Drought,,,1991-9050
00/03/1991,00/00/1991,Thailand,THA,,Drought,Drought,,2500000,1991-9078
